sr_no,sol_id,acct_name,schm_code,principal_payment_due_date,principal_payment_amount,interest_payment_due_date,primary_manager_id,secondary_manager_id,tertiary_manager_id,cbo_srm_id,credit_admin_manager_id,normal_interest,interest_calc_status,penal_interest,penal_calc_status,processing_status
373674,1687,Inps:sN_l'a6ZL,LI001,28-02-2023,76000,28-02-2023,NA,235265,292918,347949,347949,23380.29,Done,6.17,Done,Done
400139,4313,@Zk@4rAq.!Usb:eSI=q$Lfom(@7,LNSUC,,,28-02-2023,,,,,,0,Done,,pending,Cust_Email_Is_Blank
375856,42,HZot7# c;vU5,LNECL,,,28-02-2023,NA,282011,18463,207558,207558,0,Done,,pending,Normal_Interest_Is_Zero
373804,43,CHu@FoAgl{Z:g:feOM5+Xjo,LNBLA,28-02-2023,178571,28-02-2023,128453,74293,15552,153576,153576,83945.77,Done,,pending,Done
385725,2609,"HhduE~Hc?w,:V<\]FL;{V8ki+s7jMN38,U9X`:Lat, 8<D*/Zw",LNECL,,,28-02-2023,NA,213763,25118,74634,74634,10630.79,Done,0,Done,Done
385376,2430,:bxy3JP[=w^seKbUR;F*,LNECL,,,28-02-2023,300160,148139,31755,18067,18067,17148.72,Done,59.84,Done,Done
373649,1326,">ng@5|A`A&,Ck>edB9E",LI001,28-02-2023,313300,28-02-2023,,,,,,116100.2,Done,48.71,Done,Cust_Email_Is_Blank
373639,1050,FZtv3~I:1w_=\GXc,LI001,28-02-2023,191000,28-02-2023,246743,148894,145105,338705,338705,309.3,Done,19.85,Done,Done
383774,177,JbtuBkTcltM@VC\1>MF&#ax_<G8wD==,LNECL,28-02-2023,122222.22,28-02-2023,235851,352403,53597,30628,30628,18243.33,Done,37.59,Done,Done
383804,1772,"B^vsqtUg=R`FVFc`IA@{#Yx_f5({@F>J9G9X`:Lat, 8<D*/Zw",LNECL,28-02-2023,183500,28-02-2023,NA,3435,145105,342973,342973,25718.34,Done,415.88,Done,Done
386346,290,Ikk@DkM[;RQ8j<TeFG@wO8}j*=)yT,LNECL,,,28-02-2023,NA,207410,119040,348267,348267,95055.48,Done,52.05,Done,Done
373668,1636,7km@5kRn<!_seK\g>L7VOawd;9(,LI001,28-02-2023,64800,28-02-2023,297612,113746,6947,21501,37978,5500.78,Done,125.83,Done,Done
373662,1541,?lktqyF`6uQshITTBwE&Om~d6BcuMA@6;G9TW>?te+,LI001,28-02-2023,141600,28-02-2023,NA,6625,106906,388354,387360,22490.49,Done,36.68,Done,Done
383876,179,"@Zia@JN[Az,5\@TcT9>V)8mj4D%sT",LNECL,,,28-02-2023,NA,314351,22471,374147,374147,17064.9,Done,114.69,Done,Done
373632,66,7ljo=k m2%b=X>f,LI001,28-02-2023,150000,28-02-2023,NA,246781,25393,383615,148433,41479.31,Done,0,Done,Done
392263,4599,;ecn3n g6~WseK\g>L7VOawd;9(,LNPLS,,,28-02-2023,NA,146008,52541,43745,43745,4664.09,Done,68.4,Done,Done
373652,1472,"Lbpc3JLc3w,GXBX_@=E",LI001,,,28-02-2023,NA,134435,20736,102848,102848,12841.18,Done,0,Done,Done
385263,240,"Mhpd7| n2+,=c=\R",LNECL,28-02-2023,33000,28-02-2023,NA,193192,40631,354653,354653,3698.14,Done,23.94,Done,Done
375638,35,I9d@>yGc@'U7h,LNECL,,,28-02-2023,NA,80135,21737,26105,356935,116609.59,Done,,pending,Done
400530,1164,"I^pcAJGi9v,@^F\eB<",LNXAU,,,,NA,173693,94181,14781,354392,0,Done,0,Done,No_Interest_Payment_Due
373656,1530,8bqm3~RcER\5XDTXFF9VSjsq(H)EGA7>;G],LI001,,,28-02-2023,NA,177563,191519,388664,190553,53087.3,Done,,pending,Done
373666,1634,Iboh3mH[9sYsaHZZPL;yV8zm0J%y@w6>4KmMR,LI001,,,28-02-2023,NA,356141,16050,45459,21383,39000,Done,0,Done,Done
373680,2090,Ikk@?kH[9sWG]F\1MG>0P]|n,LI001,28-02-2023,200000,28-02-2023,181620,191555,21685,183584,183584,77686.47,Done,,pending,Done
386154,282,>Zut=kL[lwdDdKgd,LNECL,,,28-02-2023,NA,162168,15269,346838,115767,94363.62,Done,2.91,Done,Done
373694,387,"CKe@EyLoA{[B5:aU|K7)Yam`:s4wDN+I,""eQ[:Jed",LI001,28-02-2023,300000,28-02-2023,NA,154142,93258,11182,11182,63190,Done,,pending,Done
384193,189,Ikk@HsN[FsS55AT_AD7)V8z;3H(,LNECL,28-02-2023,41666,28-02-2023,NA,309461,76707,167793,370335,6438.37,Done,18.23,Done,Done
400467,1164,"I^pcAJGi9v,@^F\eB<",LNXAU,,,,NA,173693,94181,14781,354392,0,Done,0,Done,No_Interest_Payment_Due
373720,335,LGmNIyOf9wZs^GWfPLD Hk,LNAGP,,,28-02-2023,196214,169114,27426,356552,330191,1.55,Done,,pending,Done
400149,485,"Jate7JSn.%,7g>TeFG@*",LNSUC,,,28-02-2023,NA,242158,18954,378776,378776,0,Done,,pending,Normal_Interest_Is_Zero
373710,129,89f@BkTc9RQBi>eaOAE{V,LNAGP,28-02-2023,50000,28-02-2023,NA,206634,101122,15635,292379,18863.13,Done,,pending,Done
375955,43,":bii3xA:6!PIhMeZBKq'Ua!\;9cqDE3I,F",LNECL,,,28-02-2023,NA,22232,16281,387563,387563,0,Done,,pending,Normal_Interest_Is_Zero
373702,47,"Iate7JS[6RWFjIT1>IGwFmvo<F)EKJ3K(V^(Z:Cit,D",LNAGP,,,28-02-2023,NA,177999,165625,342973,342973,0,Done,,pending,Normal_Interest_Is_Zero
373712,148,?lja@JCb.!P=5:ZcLw;%Gm}o9=)xzH<>=CmM.=?mi;E0,LNAGP,,,28-02-2023,NA,328167,15348,70493,35409,0,Done,,pending,Normal_Interest_Is_Zero
375362,13,"Iate7JUg6,MsXNgeBJEVSjsq(H)EGA7>;G]",LNECL,,,28-02-2023,NA,328847,328847,9390,9390,151643.84,Done,,pending,Done
373721,4075,"CZ{n3qUl6RM;gH3eB9q'Ua!\;9cqDE3I,F",LNAGP,,,28-02-2023,NA,328167,15348,26105,356935,3149.92,Done,0,Done,Done
373716,260,IZvy3JB_Cw^5\>f1#w6 Vlsg396xzH@IfNmL,LNAGP,,,28-02-2023,280546,339807,339807,173713,173713,1730.82,Done,0,Done,Done
373676,170,8btdEJIh1{MsXHeaLJ3+Lgx,LI001,,,28-02-2023,NA,119840,42555,68151,68151,19997.37,Done,0,Done,Done
386234,2864,"AZnaErR_2RR5WK\TPwB)Lnko,s0nHA>:+""96",LNECL,,,28-02-2023,NA,197822,28177,342973,342973,130938.88,Done,0,Done,Done
373714,2021,Ahws3vY[lvM@ax`ZID,LNAGP,,,28-02-2023,NA,33856,25118,386964,386964,23808.42,Done,0,Done,Done
376623,69,"Ikk@=|Im5!MsZGiZOGq{Q_si,96x",LNECL,,,28-02-2023,NA,213763,25118,386964,386964,0,Done,,pending,Normal_Interest_Is_Zero
385173,228,>bpdqkUn< [H^OX,LNECL,,,28-02-2023,302932,169114,51155,275620,330191,15986.86,Done,15.22,Done,Done
375347,13,"Iate7JUg6,MsXNgeBJEVSjsq(H)EGA7>;G]",LNECL,28-02-2023,747222,28-02-2023,NA,328847,328847,9390,9390,113367.98,Done,,pending,Done
373697,674,89o@7xT_?#^=h>f,LI001,28-02-2023,325000,28-02-2023,NA,135644,37555,156579,357135,130112.67,Done,,pending,Done
373700,830,Iate7JVc;se5`xfYV9?VEYv\1=cnI<?H;TbMa,LI001,28-02-2023,316667,28-02-2023,NA,251536,25006,80486,80486,95341.61,Done,,pending,Done
373692,375,:Zp@3qRi,LI001,28-02-2023,94000,28-02-2023,70961,251536,25006,197653,197653,748.78,Done,,pending,Done
373773,13,7fqdq}T[:#UB\L3aSLq#W\,LNBLA,28-02-2023,1473684,28-02-2023,NA,200193,NA,9390,9390,182397.73,Done,,pending,Done
375300,12,Fnuh=kR:AwO<cH3aOAHwW]Jg0A-y@<,LNECL,,,28-02-2023,NA,153048,NA,112866,112866,127959.11,Done,,pending,Done
373776,24,HZo@=|Im5!MsV@X_@A7*,LNBLA,,,28-02-2023,NA,349267,62558,62558,62558,,pending,,pending,Normal_Interest_Is_Null
376137,47,KgpaFs [?',LNECL,,,28-02-2023,165625,197934,197934,338705,338705,0,Done,,pending,Normal_Interest_Is_Zero
373760,430,"9^te4|Afl~[;^Q3eB;:%Rdyb097EKJ3K(V^(Z:Cit,D",LNBFP,28-02-2023,59500,28-02-2023,NA,11218,11218,378655,328668,32804.46,Done,,pending,Done
376337,55,"HZoaq}T_2~,Hj;Xd|DFz",LNECL,,,28-02-2023,NA,157543,40868,49678,350703,162384.66,Done,,pending,Done
373769,12,DZtaKkNclwZHZKccFK7*,LNBLA,28-02-2023,60000,28-02-2023,NA,9915,3377,112866,112866,22006.85,Done,,pending,Done
373767,10,"Chfiq}AfA&,seOg1IL6",LNBLA,28-02-2023,59523,28-02-2023,NA,195014,27426,15533,15533,10847.33,Done,,pending,Done
373756,1634,Ikk@9kY[Az^=5ITTH99 Q_Jd589xOJ3::,LNBFP,28-02-2023,150000,28-02-2023,NA,16685,16050,17316,33482,366598.97,Done,,pending,Done
373772,13,7mna@~A:2~Q7iK\T>DEVSjsq(H)EGA7>;G],LNBLA,,,,NA,117804,267279,9390,9390,,pending,,pending,No_Interest_Payment_Due
376602,69,;qkd7JPiDw^sX>aeO=,LNECL,28-02-2023,44400,28-02-2023,NA,148596,148597,386964,386964,5735.17,Done,,pending,Done
373762,458,Imge>JF[/RQEjBc^BFF,LNBFP,28-02-2023,509000,28-02-2023,273254,202649,265759,19739,19739,364694.61,Done,,pending,Done
375654,38,Kgkt7n n?sZGbBfdFG@,LNECL,,,28-02-2023,NA,216969,128688,374861,374861,0,Done,,pending,Normal_Interest_Is_Zero
373752,1541,FarcqkSm<uU5i>f,LNBFP,,,28-02-2023,NA,260593,70055,4463,260161,140635.66,Done,0,Done,Done
386194,283,AnoaDJEf2u`FdG\TP,LNECL,,,28-02-2023,296494,103003,80729,371858,169260,112807.55,Done,16.44,Done,Done
373754,1541,I9cn3xD[;R2sXH,LNBFP,28-02-2023,465000,28-02-2023,NA,358441,59364,373811,387360,82280.16,Done,,pending,Done
375894,43,LbpaKkK:2!`9gIeZP=E,LNECL,28-02-2023,230000,28-02-2023,NA,97891,16281,387563,387563,27736.11,Done,,pending,Done
373748,1491,LZtd3x j2'^CXAX^F;3#V8Rkos0y?,LNBFP,28-02-2023,166660,28-02-2023,NA,328847,328847,9390,9390,51812.6,Done,,pending,Done
373740,1165,CZpg3v n6%`<5>fe>L7VOln,LNBFP,28-02-2023,812500,28-02-2023,NA,325850,29162,8036,390307,637528.68,Done,,pending,Done
373750,1541,";egcF|Oh6u,5jMb^>L;&Q8zq;""cqO<",LNBFP,28-02-2023,104166,28-02-2023,127951,152123,209467,4463,260161,14934.85,Done,,pending,Done
378551,1164,7gcn6JEhAw^DgBfVP,LNECL,,,28-02-2023,NA,156688,33851,334766,322056,80759.59,Done,,pending,Done
373798,42,>GtN3X m.~QG5<bcMGDwWayi,LNBLA,,,28-02-2023,NA,172584,8929,207558,207558,0.02,Done,,pending,Normal_Interest_Is_Zero
373819,57,9acn6xI:0%M:iL,LNBLA,28-02-2023,199920,28-02-2023,NA,342361,NA,374069,13351,135033.61,Done,,pending,Done
375457,20,HaknAJAa2!O=ZL3]FE;+H\,LNECL,,,,267283,157026,19618,205418,329804,,pending,,pending,No_Interest_Payment_Due
376773,77,Ipcg3~ _;'QFeK\dBK,LNECL,,,28-02-2023,NA,262759,209467,259421,108377,0,Done,,pending,Normal_Interest_Is_Zero
373803,43,":bxy3}H[8'Us[HbUPwB)Lnko,s0nHA>:+",LNBLA,28-02-2023,553846,28-02-2023,NA,NA,200462,387563,387563,141233,Done,,pending,Done
